order,index,fact,height,proposer,sent_ns,fast_ns,durable_ns,persist_callback_ns,submitted_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,members_observed_ns,send_offset_ms,certificate_ready_to_submit_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,response_to_persist_start_ms,gateway_persist_ms,persist_to_callback_ms,persist_callback_to_durable_ms,gateway_queue_legacy_ms,durable_to_scheduled_ms,durable_to_submit_ms,submit_roundtrip_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_submit_ms,send_to_commit_ms,fast_to_commit_ms,committee_received_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_apply_from_commit_ms,member_observe_lag_ms,commit_to_wallet_observed_ms,block_observed_ms,members_observed_ms
24,38,206ba600d346cfcde1b35d2fac7ea7e2bef404be6337952f9a237af5bb089681,3,committee1,1789836533711782000,1789836533878854000,1789836533992769000,1789836533869184000,1789836533858827000,1789836533859109000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534959285000,0.931,42.174,167.072,1.859,103.012,0.389,61.812,0.778,175.365,51.753,123.585,-133.972,-142.952,-133.942,1.341,0.082,0.899,262.889,0.216,260.747,3.302,0.003,0.052,1.495,27.184,104.888,147.045,809.003,641.931,661.676,266.51,3.128,0.225,0.01,1.046,100.217,4.936,361.985,76.515,383.934,1192.937,1247.503
25,15,0d3d97beccf591c336b2c2ba1b02793484f5396ef38b6c99402babf3a31069a4,3,committee1,1789836533711786000,1789836533878945000,1789836533992769000,1789836533869304000,1789836533838367000,1789836533838514000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534959473000,0.935,18.908,167.159,2.673,105.0,0.202,59.284,0.904,172.452,48.941,123.465,-154.448,-154.714,-154.402,2.373,0.033,2.188,282.195,0.216,260.747,1.581,0.003,0.29,2.979,27.184,104.888,126.581,808.999,641.84,682.271,266.51,3.128,0.225,0.01,1.046,100.217,4.551,361.985,76.703,383.549,1192.548,1247.687
26,25,bd37e0cf6ffbca9b5216e41f38cbff8c813a48a0f70dd51e16fbed1cfb0812d9,3,committee1,1789836533711786000,1789836533878832000,1789836533992769000,1789836533869282000,1789836533879507000,1789836533879663000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534945220000,0.935,59.555,167.046,2.03,106.136,0.109,58.771,0.286,172.635,49.044,123.487,-113.367,-113.584,-113.262,2.324,0.042,2.128,241.106,0.216,260.747,4.534,0.004,0.05,0.264,27.184,104.888,167.721,808.999,641.953,641.122,266.51,3.128,0.225,0.01,1.046,100.217,4.952,361.985,62.45,383.95,1192.949,1233.434
27,52,db9071dd6a50789a182640c895e9d7b6a957450056415e554ac963fbace32b01,3,committee1,1789836533711791000,1789836533878894000,1789836533992769000,1789836533869296000,1789836533875076000,1789836533875255000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534925423000,0.94,58.049,167.103,9.674,95.562,2.013,59.854,3.325,172.454,48.944,123.473,-117.73,-118.021,-117.693,2.714,0.058,2.507,245.135,0.216,260.747,4.164,0.004,0.058,0.626,27.184,104.888,163.285,808.994,641.891,645.53,266.51,3.128,0.225,0.01,1.046,100.217,4.359,361.985,42.653,383.357,1192.351,1213.632
28,31,939aa367c3efcd8609e5ed9be42bd156184278e01b1c1b6f04e3f7143097a3f1,3,committee1,1789836533711792000,1789836533878927000,1789836533992769000,1789836533869353000,1789836533833067000,1789836533833238000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534941941000,0.941,12.552,167.135,4.11,104.613,0.164,58.248,0.122,172.225,48.716,123.416,-159.796,-160.035,-159.702,2.371,0.055,2.16,287.499,0.216,260.747,1.106,0.002,0.044,3.7,27.184,104.888,121.275,808.993,641.858,687.547,266.51,3.128,0.225,0.01,1.046,100.217,4.565,361.985,59.171,383.563,1192.556,1230.149
29,43,0f5608e4ab38febac4247041b9dde9b6f6fd408c7866e429161066b7e3ff7577,3,committee1,1789836533711793000,1789836533844833000,1789836533992769000,1789836533869054000,1789836533816664000,1789836533817090000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534925446000,0.942,15.347,133.04,5.492,84.032,0.097,43.419,14.929,176.554,52.808,123.715,-176.137,-176.443,-176.105,2.948,0.307,2.452,303.355,0.216,260.747,0.587,0.002,0.061,4.202,27.184,104.888,104.871,808.992,675.952,703.695,266.51,3.128,0.225,0.01,1.046,100.217,-4.407,361.985,42.676,374.591,1183.583,1213.653
30,20,1e77504fb4ad7f6d67fb492a94fff2071a5327ace994df3f3b73b11598b8b32c,3,committee1,1789836533711797000,1789836533815792000,1789836533868849000,1789836533815957000,1789836533799396000,1789836533799780000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534891515000,0.946,1.139,103.995,1.86,84.6,0.269,17.266,0.151,70.631,17.549,52.892,-69.644,-70.352,-69.453,1.905,0.255,1.316,321.801,0.216,260.747,0.009,0.007,0.095,4.741,27.184,104.888,87.599,808.988,704.993,721.005,266.51,3.128,0.225,0.01,1.046,100.217,-8.933,361.985,8.745,370.065,1179.053,1179.718
31,22,3c555ba85243e6165843042e7842819948c171a8d1c72da37fc1d8b9e7adf6e0,3,committee1,1789836533711797000,1789836533878926000,1789836533992769000,1789836533869321000,1789836533880200000,1789836533880366000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534953489000,0.946,59.779,167.129,1.885,106.739,0.213,58.292,0.12,172.327,48.78,123.448,-112.668,-112.897,-112.569,2.286,0.052,2.082,240.449,0.216,260.747,4.593,0.004,0.051,0.204,27.184,104.888,168.403,808.988,641.859,640.419,266.51,3.128,0.225,0.01,1.046,100.217,4.573,361.985,70.719,383.571,1192.559,1241.692
32,58,41525879041ac369d90c6e8c5c12f6cee989010b9f4687f5ad55d42ed8102675,3,committee1,1789836533711800000,1789836533878880000,1789836533992769000,1789836533869112000,1789836533840406000,1789836533840564000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534924988000,0.949,23.739,167.08,5.327,99.54,0.38,61.833,0.121,176.018,52.324,123.657,-152.401,-152.703,-152.363,2.387,0.041,2.2,280.133,0.216,260.747,2.369,0.005,0.07,2.408,27.184,104.888,128.606,808.985,641.905,680.221,266.51,3.128,0.225,0.01,1.046,100.217,4.327,361.985,42.218,383.325,1192.31,1213.188
33,39,587704312f2496582e7cb025626787427866985cf9839f557e869bd6d58848b0,3,committee1,1789836533711801000,1789836533878882000,1789836533992769000,1789836533869176000,1789836533875955000,1789836533876111000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534941815000,0.95,58.117,167.081,1.926,104.111,0.3,60.744,0.188,174.761,51.15,123.593,-116.832,-117.14,-116.814,2.505,0.04,2.311,244.475,0.216,260.747,4.231,0.003,0.056,0.562,27.184,104.888,164.154,808.984,641.903,644.674,266.51,3.128,0.225,0.01,1.046,100.217,4.554,361.985,59.045,383.552,1192.536,1230.014
34,6,7141d649f8a23787adeb41611264900ed9c8e18edc9d026010399f4d196b38af,3,committee1,1789836533711803000,1789836533878860000,1789836533992769000,1789836533869169000,1789836533847391000,1789836533847538000,1789836534520785000,1789836534899783000,1789836534882770000,1789836534959280000,0.952,30.493,167.057,1.78,103.315,0.161,61.801,1.123,174.826,51.148,123.6,-145.457,-145.703,-145.378,2.413,0.031,2.226,273.133,0.216,260.747,3.05,0.004,0.052,1.746,27.184,104.888,135.588,808.982,641.925,673.247,266.51,3.128,0.225,0.01,1.046,100.217,6.131,361.985,76.51,385.129,1194.111,1247.477
