order,index,height,fact,proposer,first_submitter,sent_ns,fast_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,send_offset_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,gateway_persist_ms,gateway_queue_ms,install_fanout_ms,response_to_committee_ms,fast_to_committee_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_observe_lag_ms,member_apply_from_commit_ms,block_observed_ms,members_observed_ms
34,35,8,3ff980e4a4324215c0a7dc11a23aadcd6e8d2452ad1cd7673a6ff48957ab4a63,committee2,gateway0,1789784311700461000,1789784311924784000,1789784313701140000,1789784314398736000,1789784314776822000,1789784314800872000,0.851,224.32475,16.943,111.667,2.112,93.601,802.522,1015.024,53.96,1872.069,1776.356,0.06,1.448,272.043,5.559,318.522,10.514,0.576,0.727,1.358,57.91,28.938,2698.275,342.525,1.664,0.275,0.013,4.532,29.068,-1.954,-19.953,402.136,3074.422166,3080.47275
35,36,9,4eaa78ec6b3d40415928f5f0c21b77cc56c0cb33ce844e94c098b66e13a65cc3,committee0,gateway0,1789784311700573000,1789784311870008000,1789784313857818000,1789784314864782000,1789784315195792000,1789784315189867000,0.963,169.435958,7.32,87.978,3.19,70.947,423.84,1568.092,65.781,2061.947,1987.81,3.797,13.292,557.846,8.355,335.593,3.098,0.657,0.895,13.527,42.718,30.982,3164.209,235.835,13.818,0.289,0.012,8.999,72.051,-25.161,18.393,325.085,3470.074208,3507.703708
36,37,12,b99ff51d7b38c5ed12088e2980425979a9e57a809bd13af378bb093d8258893f,committee2,gateway0,1789784311700606000,1789784311924667000,1789784315289164000,1789784316039846000,1789784316345762000,1789784316348718000,0.996,224.06225,15.238,113.677,0.126,95.02,928.186,2458.068,72.847,3459.643,3364.497,0.159,2.787,322.063,5.758,354.032,4.044,0.633,0.789,5.572,27.955,27.048,4339.24,267.244,1.299,0.278,0.012,4.36,32.718,4.013,11.139,308.872,4649.191666,4659.272833
37,38,10,974a4363c1f7c6f4f15e9a9947296ab145f9ef3123f3481479ccd6bccc5efb37,committee1,gateway0,1789784311700693000,1789784311924187000,1789784314681249000,1789784315189813000,1789784315502889000,1789784315560778000,1.083,223.495084,10.881,93.961,6.719,111.933,398.184,2421.084,55.915,2875.714,2757.062,0.129,2.697,172.992,4.838,251.164,9.249,0.584,0.71,0.05,44.271,22.008,3489.12,285.409,0.998,0.283,0.012,4.06,22.309,-3.693,-10.674,370.965,3798.520875,3849.43
38,39,13,e2d5d648941caffc3c338f01e73fc780622420c30e3bb5b5047b8ec196b331d6,committee0,gateway0,1789784311700710000,1789784311924695000,1789784315957107000,1789784316404792000,1789784316741819000,1789784316769822000,1.1,223.985459,6.148,99.049,7.652,111.136,583.828,3500.915,65.893,4151.2,4032.412,0.059,0.796,105.959,7.87,253.094,13.145,0.618,0.803,2.719,36.711,25.97,4704.082,295.42,1.141,0.274,0.012,6.3,33.876,7.873,-13.442,365.03,5049.005417,5055.694
39,40,6,ef22318befbb242bae697d1a1d911cb432fac098cda1a786b571c9d90cab5399,committee1,org0-member3,1789784311700800000,1789784311924538000,1789784312896330000,1789784313574757000,1789784313911772000,1789784313907820000,1.19,223.739375,8.138,120.28,1.829,93.491,904.522,123.028,53.47,1067.112,971.792,0.075,2.118,305.511,5.225,251.649,2.652,0.544,0.698,5.14,72.893,31.996,1873.957,283.442,1.157,0.368,0.017,5.255,46.751,0.114,5.04,333.063,2211.096834,2212.070625
40,41,9,4e4f9055f2dcdf6d5e02c8c1afce0e774288a4b0c22b1c1178036f1bbb35e2f4,committee0,gateway0,1789784311700844000,1789784311924708000,1789784313854056000,1789784314864782000,1789784315195792000,1789784315189867000,1.234,223.865125,10.715,117.475,0.106,95.568,748.674,1210.131,65.768,2025.022,1929.348,0.058,16.391,558.509,8.355,335.593,1.599,0.656,0.836,15.086,42.718,30.982,3163.938,235.835,13.818,0.289,0.012,8.999,72.051,-21.08,-12.655,325.085,3473.883917,3476.384125
41,42,8,362941558bf89ff20692eddd9b1a518030bb1b8ef99e93ccefce4a51955eb228,committee2,gateway0,1789784311700915000,1789784311923852000,1789784313701165000,1789784314398736000,1789784314776822000,1789784314800872000,1.305,222.937708,11.802,116.944,2.454,91.737,968.059,849.006,53.956,1871.504,1777.313,0.076,2.102,271.364,5.559,318.522,11.825,0.575,0.711,0.064,57.91,28.938,2697.821,342.525,1.664,0.275,0.013,4.532,29.068,-2.407,-19.845,402.136,3073.514333,3080.126208
42,43,9,6822ebe4d40c4fe3077c8091f2786e531798180b6c36373f64c181a5ecc9d644,committee0,gateway0,1789784311700952000,1789784311924991000,1789784314264046000,1789784314864782000,1789784315195792000,1789784315189867000,1.342,224.040291,8.657,96.692,8.321,110.369,706.467,1703.064,47.772,2457.745,2339.055,0.065,0.825,164.085,8.355,335.593,11.708,0.605,0.724,5.14,42.718,30.982,3163.83,235.835,13.818,0.289,0.012,8.999,72.051,-20.394,-12.656,325.085,3474.462458,3476.275125
43,44,6,fe5db79127ce3e36dfe11da59a11506ec18cc4826bca8226a33f32d80aef0e26,committee1,gateway0,1789784311701010000,1789784311870437000,1789784313067047000,1789784313574757000,1789784313911772000,1789784313907820000,1.4,169.427667,6.157,81.062,10.775,71.433,85.516,1140.026,52.848,1278.818,1196.61,0.049,0.842,136.07,5.225,251.649,3.901,0.593,0.69,3.85,72.893,31.996,1873.747,283.442,1.157,0.368,0.017,5.255,46.751,-38.258,48.387,333.063,2172.51425,2255.207167
