kind,fact,height,requested_ns,locked_ns,returned_ns,no_changes,page_bytes,write_count,lock_wait_ms,begin_ms,business_ms,mutations_ms,commit_ms,bbolt_write_sync_ms,bbolt_spill_ms,bbolt_rebalance_ms,total_ms
retry_status,c991cd0a64c6275716c02996d2c706ed548c1cb32b05f2d8183a81b548d43fa1,,1789785403513127000,1789785403566322000,1789785403584292000,false,65536,5,53.195,0.003,0.009,0.002,17.956,17.95025,0.003459,0.0,71.165
retry_status,cb769b3c524171e660da09ecd93914036cdc38c7382252da5339c54673ea4eeb,,1789785403513797000,1789785403584299000,1789785403598279000,false,65536,5,70.502,0.005,0.077,0.009,13.889,13.873125,0.005833,0.0,84.482
retry_status,dc9058a873c6029f9029242b188c55f81fde6af34180ce43777d9e6c624676ea,,1789785403639456000,1789785403639456000,1789785403660283000,false,65536,5,0.0,0.002,0.01,0.002,20.813,20.804292,0.00375,0.0,20.827
retry_status,dfe9763b13a8666b4a11198b35d2aa8c14977d591e6f4f03a2600e64d6c1b98d,,1789785403640138000,1789785403660296000,1789785403675303000,false,65536,5,20.158,0.003,0.01,0.001,14.993,14.988209,0.0025,0.0,35.165
retry_status,d6082891196e6d782ac078ee474eb09679f9d7a7d63aa0bcb682f2d6fdc5e164,,1789785403649347000,1789785403675313000,1789785403691342000,false,65536,5,25.966,0.002,0.01,0.002,16.015,16.009375,0.003375,0.0,41.995
retry_status,d48c82cbc926a52fc1d51c2898169f7328a4c1ffdfbfe4c5ab41ae2d0149dd06,,1789785403649994000,1789785403691350000,1789785403712344000,false,65536,5,41.356,0.006,0.011,0.001,20.976,20.96875,0.003666,0.0,62.35
block_follow,,5,1789785403732659000,1789785403732660000,1789785403769363000,false,98304,7,0.001,0.002,1.36,0.014,35.327,35.311625,0.006875,0.002417,36.704
retry_status,e4a1d4dffa8c451272458e12db1017cf30c7fb26e4df69826750cd7f8d6a61b2,,1789785403812570000,1789785403812570000,1789785403855357000,false,65536,5,0.0,0.003,0.011,0.002,42.771,42.762875,0.0035,0.0,42.787
retry_status,e49c2710835bf0ba8db6c2ec4a3e51c5469650a33679fadf3923bc36e0b2a03e,,1789785403813281000,1789785403855401000,1789785403906304000,false,65536,5,42.12,0.005,0.018,0.002,50.878,50.861083,0.004209,0.0,93.023
retry_status,e510559613e41b2c9650ae40735a8ab91ea560d8a9f919d620bed42cce00f5d4,,1789785403813948000,1789785403906360000,1789785403932402000,false,65536,5,92.412,0.004,0.013,0.001,26.024,25.907291,0.004458,0.0,118.454
