kind,fact,height,requested_ns,locked_ns,returned_ns,no_changes,page_bytes,write_count,lock_wait_ms,begin_ms,business_ms,mutations_ms,commit_ms,bbolt_write_sync_ms,bbolt_spill_ms,bbolt_rebalance_ms,total_ms,index,save_start_ns,save_end_ns,picked_ns,save_ms,pre_store_ms,queue_ms,queue_during_groups_ms,queue_during_scans_ms,queue_other_ms
new_payment,d6082891196e6d782ac078ee474eb09679f9d7a7d63aa0bcb682f2d6fdc5e164,,1789785401973291000,1789785402761304000,1789785402773255000,false,81920,6,788.013,0.004,0.011,0.004,11.932,11.925166,0.005458,0.0,799.964,45,1789785401973094000,1789785402773260000,1789785403598455000,800.166,0.197,825.195,825.136,0.052,0.007000000000082766
new_payment,cb769b3c524171e660da09ecd93914036cdc38c7382252da5339c54673ea4eeb,,1789785401972647000,1789785402597292000,1789785402605286000,false,81920,6,624.645,0.003,0.011,0.002,7.978,7.972875,0.002958,0.0,632.639,46,1789785401959940000,1789785402605290000,1789785403454352000,645.35,12.707,849.062,849.003,0.052,0.00699999999996908
new_payment,347ba919a5e05160702764fa0aea7e3da54ad63f050bf58530b741fb16019b27,,1789785401959399000,1789785402327338000,1789785402342277000,false,81920,6,367.939,0.003,0.01,0.003,14.923,14.918291,0.003334,0.0,382.878,47,1789785401959220000,1789785402342282000,1789785405401351000,383.062,0.179,3059.069,3025.687,0.116,33.26600000000006
new_payment,297b67160e0dc93ad07d260959c1657869497df57ff7ce7d0461e326bd5eff9c,,1789785401958883000,1789785402126266000,1789785402142290000,false,81920,6,167.383,0.001,0.015,0.003,16.005,15.998584,0.003542,0.0,183.407,48,1789785401958673000,1789785402142293000,1789785405215370000,183.62,0.21,3073.077,3039.711,0.102,33.26400000000044
new_payment,1871d0387dabc30eb3c94be9185be641405e1a4493aefaa941627a25a464c059,,1789785401959489000,1789785402393311000,1789785402401279000,false,81920,6,433.822,0.003,0.011,0.003,7.951,7.943333,0.003625,0.0,441.79,49,1789785401959297000,1789785402401283000,1789785404636716000,441.986,0.192,2235.433,2202.069,0.102,33.262000000000036
new_payment,eb9813f9962f912caef01536c57959590f8ee81d2f6ef244ab1fd8b86e44436f,,1789785401959807000,1789785402542302000,1789785402550242000,false,98304,7,582.495,0.002,0.008,0.002,7.928,7.91925,0.00475,0.0,590.435,50,1789785401959619000,1789785402550246000,1789785403948500000,590.627,0.188,1398.254,1398.179,0.067,0.007999999999818097
new_payment,ad6b1c4dce17946f3c0d21c281485c1cf2e3dfdbab05be0be165269161b8a193,,1789785401972831000,1789785402653293000,1789785402661257000,false,98304,7,680.462,0.003,0.018,0.003,7.94,7.933125,0.004333,0.0,688.426,51,1789785401972358000,1789785402661261000,1789785403178328000,688.903,0.473,517.067,517.028,0.035,0.003999999999987264
new_payment,8204b1c14afe2584cb61fbf8bba8e81747cd4e83aabb611921e05b039b10ccb6,,1789785401946989000,1789785401992317000,1789785402014295000,false,81920,6,45.328,0.005,0.015,0.004,21.954,21.944125,0.004666,0.0,67.306,52,1789785401946794000,1789785402014300000,1789785402781330000,67.506,0.195,767.03,766.992,0.035,0.0030000000000109106
new_payment,2b5ada4ce97710ed2d655ae0707d8f649d78019e0c21893e34a837acdee48aad,,1789785401972981000,1789785402677272000,1789785402685267000,false,81920,6,704.291,0.002,0.007,0.003,7.983,7.977875,0.003208,0.0,712.286,53,1789785401972711000,1789785402685271000,1789785405215344000,712.56,0.27,2530.073,2496.707,0.102,33.26399999999999
new_payment,24a2c962eeedb10eb2109396849ac439f6b486bf86f964806423beff8432c4f8,,1789785401958668000,1789785402081292000,1789785402095324000,false,81920,6,122.624,0.003,0.01,0.004,14.015,14.006917,0.00575,0.0,136.656,54,1789785401947833000,1789785402095329000,1789785405215396000,147.496,10.835,3120.067,3086.701,0.102,33.26399999999999
new_payment,159e12421d31be5bf8a141f8d7065c93fd01c426330b7cd271936617114fe601,,1789785401959161000,1789785402300297000,1789785402312274000,false,81920,6,341.136,0.004,0.009,0.003,11.961,11.955833,0.003417,0.0,353.113,55,1789785401958968000,1789785402312278000,1789785404636507000,353.31,0.193,2324.229,2290.865,0.102,33.262000000000036
new_payment,1c01a77eb9188f935b08ac20aba0bd495413674913bff8de4c79e1883c2965a0,,1789785401891933000,1789785401891933000,1789785401911099000,false,49152,4,0.0,0.003,0.009,0.001,19.153,13.853875,0.003583,0.0,19.166,56,1789785401891742000,1789785401911106000,1789785404991367000,19.364,0.191,3080.261,3046.896,0.102,33.262999999999785
new_payment,9b8a97e55927dcf13f336bc2b8b5d9fa612ea4f115157843d08f3ddcad20118f,,1789785401972745000,1789785402621316000,1789785402629281000,false,81920,6,648.571,0.002,0.008,0.003,7.952,7.946416,0.003042,0.0,656.536,57,1789785401972414000,1789785402629285000,1789785402908324000,656.871,0.331,279.039,279.001,0.035,0.0030000000000109106
