order,index,height,fact,proposer,first_submitter,sent_ns,fast_ns,received_ns,commit_ns,wallet_durable_ns,members_durable_ns,send_offset_ms,fast_ms,wallet_to_gateway_ms,gateway_collect_ms,response_transfer_ms,wallet_receive_verify_save_ms,gateway_persist_ms,gateway_queue_ms,install_fanout_ms,response_to_committee_ms,fast_to_committee_ms,delivery_ms,admission_ms,accepted_to_prepare_enter_ms,prepare_ms,prepare_done_to_finalize_ms,prior_transactions_ms,final_check_ms,execute_ms,remaining_block_ms,finalize_to_commit_start_ms,commit_ms,send_to_commit_ms,next_header_wait_fetch_ms,block_results_fetch_ms,wallet_block_verify_ms,wallet_update_queue_ms,wallet_block_apply_ms,wallet_update_flush_ms,wallet_observe_lag_ms,member_observe_lag_ms,member_apply_from_commit_ms,block_observed_ms,members_observed_ms
35,34,5,cd3f94429ccd34d32edcd0064829727d7f35628a40301d0d8af5f5f618f6d146,committee3,org0-member0,1789786997345644000,1789786997530343000,1789786998313810000,1789786999036145000,1789786999400151000,1789786999454168000,1.42,184.699458,1.784,141.166,0.269,41.48,44.465,751.999,37.862,825.216,783.467,0.05,0.852,270.299,8.949,328.248,6.251,0.652,0.854,10.839,24.413,70.977,1690.501,308.43,15.437,0.128,0.009,2.144,37.85,-19.654,0.916,418.023,2034.855458,2109.442542
36,32,3,50aa8ea62b6ddd8e685defc605c07f32ed9e0db4254ec760444139132038788c,committee1,gateway0,1789786997345645000,1789786997530372000,1789786997601722000,1789786998150219000,1789786998486171000,1789786998574156000,1.421,184.727,5.721,137.082,0.467,41.457,44.65,36.008,31.872,113.274,71.35,0.297,1.259,227.556,3.855,224.824,1.651,0.643,0.821,4.373,61.458,22.056,804.574,310.228,0.967,0.28,0.009,0.742,23.718,-5.311,7.277,423.937,1135.216208,1235.789375
37,20,7,0904c702e936c517a5a7f8817cb05d22b95eeaf4008165733bf08f8ab23575b4,committee1,gateway0,1789786997345661000,1789786997562246000,1789786998916507000,1789786999854190000,1789787000205144000,1789787000239113000,1.437,216.585042,2.499,162.671,2.497,48.918,57.907,1283.722,63.148,1405.676,1354.261,0.086,1.509,577.289,25.088,251.007,2.34,0.642,0.83,20.562,38.338,20.077,2508.529,301.219,3.078,0.122,0.01,2.282,44.235,7.169,-5.439,384.923,2866.656083,2888.01725
38,33,5,d5a90e459be40b9d41b61e09f1ee35329d612b8f72eef6db9ee81c9e39e0b5ad,committee3,gateway0,1789786997345663000,1789786997530380000,1789786998423345000,1789786999036145000,1789786999400151000,1789786999454168000,1.439,184.716875,10.6,153.267,0.094,20.756,59.57,790.207,63.485,913.815,892.965,0.049,1.493,160.123,8.949,328.248,13.848,0.661,0.839,3.248,24.413,70.977,1690.482,308.43,15.437,0.128,0.009,2.144,37.85,-19.687,0.835,418.023,2034.803708,2109.342125
39,35,7,2d549dea7fbfdb47a291d03ac1592e5191a31a1b7776cb15e3eaeabb657ca52e,committee1,gateway0,1789786997345667000,1789786997562420000,1789786999256428000,1789786999854190000,1789787000205144000,1789787000239113000,1.443,216.753167,10.169,154.095,3.781,48.708,59.19,1635.005,51.872,1746.497,1694.008,0.046,2.178,236.699,25.088,251.007,22.859,0.684,0.733,0.098,38.338,20.077,2508.523,301.219,3.078,0.122,0.01,2.282,44.235,7.285,0.594,384.923,2866.765875,2894.044042
40,36,6,fcb31255d5e41ea8ca9adcc629971b0a3b736547cf1759c76c4a0445ff4ac456,committee2,gateway0,1789786997345671000,1789786997562302000,1789786998741421000,1789786999464144000,1789786999797174000,1789786999839129000,1.447,216.630709,2.341,161.896,4.294,48.1,59.209,1122.001,49.83,1231.513,1179.119,0.088,0.849,316.025,24.852,275.204,13.767,0.552,0.75,0.068,54.73,35.925,2118.473,296.245,13.343,0.247,0.017,1.492,21.652,15.354,3.861,374.985,2466.859792,2497.321542
41,38,4,876440d34889bdf81d90e4a891f20dcc14a7a35be6d9b5e77bc78dd3a402a4d7,committee0,gateway0,1789786997345673000,1789786997530334000,1789786997921377000,1789786998557321000,1789786998939207000,1789786998955133000,1.449,184.661458,7.499,156.346,0.286,20.53,59.574,296.065,55.787,411.859,391.043,0.033,2.138,260.835,11.273,294.53,12.739,0.688,0.91,13.633,15.103,24.093,1211.648,330.08,2.375,0.134,0.008,2.773,46.509,0.512,-2.206,397.812,1594.048375,1607.256417
42,24,7,22bbe09d4e8bc04636696be1c82b3274c17eddbb238dbc64215f6ffe44d1d711,committee1,gateway0,1789786997345675000,1789786997530301000,1789786999171370000,1789786999854190000,1789787000205144000,1789787000239113000,1.451,184.626209,3.146,139.698,0.499,41.283,44.607,1585.043,52.764,1682.851,1641.069,0.054,0.791,323.144,25.088,251.007,12.311,0.809,0.879,10.375,38.338,20.077,2508.515,301.219,3.078,0.122,0.01,2.282,44.235,0.292,0.525,384.923,2859.764792,2893.967334
43,39,7,0db1e4adfd15b7ebadbe5e35b6471a0b5d565f94d5a106b821530b2a7f8bfd1c,committee1,gateway0,1789786997345677000,1789786997530318000,1789786999049397000,1789786999854190000,1789787000205144000,1789787000239113000,1.453,184.640708,9.092,134.287,0.111,41.151,80.036,1392.113,78.698,1560.341,1519.079,8.391,0.912,444.996,25.088,251.007,6.719,0.581,0.73,16.344,38.338,20.077,2508.513,301.219,3.078,0.122,0.01,2.282,44.235,0.268,-5.648,384.923,2859.739166,2887.792
44,40,4,aa7b5bb939f0399e1e0bf04a4dc96b82a6d3f2cd239ffa90586696a324153ad3,committee0,org0-member1,1789786997345680000,1789786997530307000,1789786998105589000,1789786998557321000,1789786998939207000,1789786998955133000,1.456,184.627875,8.55,134.721,0.147,41.209,80.148,457.05,87.822,616.638,575.282,0.07,0.883,77.878,11.273,294.53,24.444,0.668,0.978,1.881,15.103,24.093,1211.641,330.08,2.375,0.134,0.008,2.773,46.509,0.563,-2.263,397.812,1594.092708,1607.192833
